Date,TM,SHELL,AAPL
12/6/2021,184.589996,1461.131104,162.834564
12/7/2021,187.440002,1477.413574,168.606415
12/8/2021,182.479996,1504.252808,172.4478
12/9/2021,180.770004,1516.956909,171.935593
12/10/2021,182.350006,1513.020264,176.752106
12/13/2021,176.119995,1493.338135,173.097855
12/14/2021,180.779999,1484.928833,171.709076
12/15/2021,186.75,1444.848511,176.604385
12/16/2021,187.339996,1448.785156,169.670197
12/17/2021,184.039993,1426.240112,168.567047
12/20/2021,181.949997,1455.584351,167.197937
12/21/2021,182.820007,1425.166382,170.389206
12/22/2021,181.360001,1407.810425,172.999344
12/23/2021,183.779999,1448.069092,173.629761
12/27/2021,185.899994,1456.479004,177.618866
12/28/2021,184.75,1472.403809,176.594513
12/29/2021,183.679993,1470.793091,176.683167
12/30/2021,184.080002,1457.731445,175.520905
12/31/2021,185.300003,1448.427246,174.90036
1/3/2022,186.289993,1450.932373,179.273621
1/4/2022,199.190002,1521.609253,176.998367
1/5/2022,196.949997,1540.754395,172.290192
1/6/2022,199.75,1537.175781,169.414108
1/7/2022,200.440002,1553.637085,169.581543
1/10/2022,200.350006,1548.269287,169.601257
1/11/2022,201.899994,1573.140625,172.4478
1/12/2022,206.610001,1616.083252,172.891022
1/13/2022,211.369995,1615.904175,169.601257
1/14/2022,210.690002,1628.787354,170.468048
1/18/2022,207.470001,1648.648315,167.247162
1/19/2022,202.419998,1674.950806,163.730865
1/20/2022,201.470001,1672.445801,162.036728
1/21/2022,199.770004,1644.711914,159.968292
1/24/2022,197.699997,1616.977905,159.19017
1/25/2022,197.009995,1563.120483,157.377808
1/26/2022,194.169998,1620.019653,157.2892
1/27/2022,189.960007,1710.736572,156.826248
1/28/2022,193.130005,1716.999023,167.769241
1/31/2022,198.449997,1695.527466,172.152328
2/1/2022,196.429993,1687.833496,171.984879
2/2/2022,199.660004,1741.512451,173.196381
2/3/2022,199.529999,1728.808228,170.300568
2/4/2022,196.880005,1753.500244,170.014557
2/7/2022,197.240005,1822.388062,169.294632
2/8/2022,200.320007,1844.306641,172.420944
2/9/2022,201.369995,1785.707642,173.850967
2/10/2022,194.410004,1814.336182,169.748291
2/11/2022,192.710007,1805.837158,166.316223
2/14/2022,188.970001,1824.177246,166.552948
2/15/2022,189.399994,1794.206787,170.409058
2/16/2022,190.300003,1774.97168,170.172379
